"","looker_id","looker_id_seq","looker_gender","width_left_px","width_left_mm","width_horiz_left_mm","sc_width_left_px","sc_width_left_mm","sc_width_horiz_left_mm","ir_width_left_px","ir_width_left_mm","ir_width_horiz_left_mm","ir_width_alt_left_px","ir_width_alt_left_mm","width_right_px","width_right_mm","width_horiz_right_mm","sc_width_right_px","sc_width_right_mm","sc_width_horiz_right_mm","ir_width_right_px","ir_width_right_mm","ir_width_horiz_right_mm","ir_width_alt_right_px","ir_width_alt_right_mm","height_left_px","height_left_mm","sc_height_left_px","sc_height_left_mm","ir_height_left_px","ir_height_left_mm","height_right_px","height_right_mm","sc_height_right_px","sc_height_right_mm","ir_height_right_px","ir_height_right_mm","complete_area_left","complete_area_right","eye_opening_area_left","eye_opening_area_right","iris_pupil_area_left","iris_pupil_area_right","sclera_area_left","sclera_area_right","hac_left","hac_right","hrc_left","hrc_right","ril_left","ril_right","luminance_slope_left","luminance_slope_right","width_px","width_mm","width_hor_mm","sc_width_px","sc_width_mm","sc_width_hor_mm","ir_width_px","ir_width_mm","ir_width_hor_mm","ir_width_alt_px","ir_width_alt_mm","height_px","height_mm","sc_height_px","sc_height_mm","ir_height_px","ir_height_mm","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","lum_slope","lum_slope_abs","whr_px","whr_mm","ssi_px","ssi_mm","ssi_alt_px","ssi_alt_mm","ssr","hei_left_px","hei_left_mm","hei_right_px","hei_right_mm","hei_px","hei_mm","iris_centroid_y_left_mm","iris_centroid_y_right_mm","luminance_slope_abs_left","luminance_slope_abs_right","whr_left_px","whr_left_mm","whr_right_px","whr_right_mm","ssi_left_px","ssi_left_mm","ssi_alt_left_px","ssi_alt_left_mm","ssi_right_px","ssi_right_mm","ssi_alt_right_px","ssi_alt_right_mm","ssr_left","ssr_right"
"1","F01",1,"f",1866.14679699026,27.0408730998095,27.039,1665.3978928112,24.1330015124518,24.141,842.728260573953,12.2120817635651,12.1,808.616198356097,11.72410728052,1784.88239087874,25.864767406648,25.75,1623.38243105098,23.523917892222,23.533,835.998683470853,12.1144045251923,12.129,795.945429780716,11.5285263561442,666.51205684192,9.65873705606364,663.609634434602,9.61676240616314,671.832400473348,9.72986897375323,651.393775138661,9.43966309573522,645.193008859925,9.34882001971482,643.160368712131,9.32572544969474,167.307,155.936,159.957,150.642,97.032,94.308,62.925,56.334,88.5514,111.337,96.873,85.717,2059.02503766411,1269.60353804655,-10.9712806026365,15.2145453551614,1866.14679699026,27.0408730998095,27.039,1665.3978928112,24.1330015124518,24.141,842.728260573953,12.2120817635651,12.1,808.616198356097,11.72410728052,666.51205684192,9.65873705606364,663.609634434602,9.61676240616314,671.832400473348,9.72986897375323,167.307,159.957,97.032,62.925,99.9442,91.295,16.6431428785533,2.12163237626243,13.092912978899,2.7998695264906,2.79962824775663,1.97619798780328,1.97615787215353,2.0595653366788,2.0584084514946,39.3386972748926,21771.5002651775,4.57128364497959,21148.1867558118,4.44090089749207,21771.5002651775,4.57128364497959,43.391,41.089,10.9712806026365,15.2145453551614,2.7998695264906,2.79962824775663,2.74009740191145,2.74000958978436,1.97619798780328,1.97615787215353,2.0595653366788,2.0584084514946,2.51611906632334,2.51624460013292,2.03956498814024,2.0404965184197,39.3386972748926,37.3959453538854
"2","F02",2,"f",1994.67286566018,28.4779071738076,28.339,1768.83491247374,25.2528353457587,25.241,796.434709008215,11.3704793654445,11.279,771.982641675281,11.0177081349518,2022.12919354155,28.8699489608139,28.768,1734.10596337854,24.7572123026806,24.77,786.153317394261,11.2238058162105,11.179,777.789176099279,11.1021072277393,652.788896290517,9.3196400322279,650.309962528848,9.28449866539469,656.589548140821,9.36929195518268,612.171739123593,8.7408560047196,606.803990850036,8.66404856844422,651.506003970328,9.30228932251464,164.01,154.961,158.987,149.154,86.739,82.827,72.248,66.327,119.404,112.806,90.3153,88.6866,1202.56988344164,1590.61598443452,-16.1748012083283,-18.2033241891238,1994.67286566018,28.4779071738076,28.339,1768.83491247374,25.2528353457587,25.241,796.434709008215,11.3704793654445,11.279,771.982641675281,11.0177081349518,652.788896290517,9.3196400322279,650.309962528848,9.28449866539469,656.589548140821,9.36929195518268,164.01,158.987,86.739,72.248,116.105,89.50095,13.9659293393808,-17.189062698726,17.189062698726,3.0556170256494,3.05568745952946,2.22094151908126,2.22091211233392,2.29128845259421,2.29202253648818,45.4427091523206,25025.4413316875,5.10099062816457,27414.6618620553,5.58800939297639,25025.4413316875,5.10099062816457,57.209,57.776,16.1748012083283,18.2033241891238,3.0556170256494,3.05568745952946,3.30320572530268,3.30287433464476,2.22094151908126,2.22091211233392,2.29128845259421,2.29202253648818,2.85776954259864,2.85746462604678,2.22953213629858,2.22995615110105,45.4427091523206,44.4688040548695
"3","F03",3,"f",1800.44135733714,25.7040460822805,25.555,1601.32082213184,22.861803297203,22.843,807.841363279326,11.5339607247467,11.464,765.194041784963,10.9167770340271,1751.42025475469,25.0052860411554,24.67,1501.19103402365,21.4315804596861,21.344,801.892118525303,11.4491868706909,11.464,756.874126040127,10.7860697234625,673.900205348674,9.62090638870359,671.942036035455,9.59388266628776,662.187661544571,9.4456454234447,684.260872045514,9.77116514365606,678.127926374517,9.6816339816006,658.380872578503,9.40135769814214,160.4,166.328,154.77,152.625,84.761,85.487,70.009,67.138,89.4784,90.4982,99.5116,98.8448,2557.72482552177,2452.48935196035,-12.9725842696629,18.6428939290938,1800.44135733714,25.7040460822805,25.555,1601.32082213184,22.861803297203,22.843,807.841363279326,11.5339607247467,11.464,765.194041784963,10.9167770340271,673.900205348674,9.62090638870359,671.942036035455,9.59388266628776,662.187661544571,9.4456454234447,160.4,154.77,84.761,70.009,89.9883,99.1782,25.0510708874106,2.83515482971543,15.8077390993784,2.67167355499706,2.67168653802317,1.98222187538342,1.98212945602908,2.09269902101753,2.09418981682448,45.2342185178006,20944.5569633004,4.26890214511856,20098.1025963309,4.09673598689599,20944.5569633004,4.26890214511856,59.991,59.736,12.9725842696629,18.6428939290938,2.67167355499706,2.67168653802317,2.5595797250821,2.55908949173683,1.98222187538342,1.98212945602908,2.09269902101753,2.09418981682448,2.21372837725396,2.21363258520366,1.98340910644905,1.98696847036571,45.2342185178006,43.9888615888616
"4","F04",4,"f",1842.32675434218,26.3202611309235,26.273,1630.93912927276,23.2996348683837,23.315,828.891648094611,11.8426905726697,11.829,795.575192559299,11.3796923779271,1836.77629595577,26.241379536907,26.073,1556.35819433863,22.2351852701973,22.23,844.313129980815,12.062168503217,11.886,800.393266778475,11.4280040543887,575.724758302854,8.22517529948918,576.318893323329,8.23314352730979,585.03344676812,8.35597931855548,588.266506588083,8.4038882967311,586.019526042798,8.37248331448268,606.120197362517,8.67373814008823,141.974,143.41,134.267,134.332,81.6,83.096,52.667,51.236,88.0238,79.7829,101.062,94.2317,1616.97256443662,1776.21352618363,13.5414980847038,-13.2334090795999,1842.32675434218,26.3202611309235,26.273,1630.93912927276,23.2996348683837,23.315,828.891648094611,11.8426905726697,11.829,795.575192559299,11.3796923779271,575.724758302854,8.22517529948918,576.318893323329,8.23314352730979,585.03344676812,8.35597931855548,141.974,134.267,81.6,52.667,83.90335,97.64685,16.9659304531013,0.154044502551929,13.3874535821519,3.20001307529847,3.19996354759248,1.96761438364331,1.96742747987979,2.05001255007232,2.04747493118333,39.2255729255886,25279.2411371744,5.15954140630237,25114.9924171828,5.12617991245571,25279.2411371744,5.15954140630237,57.483,56.445,13.5414980847038,13.2334090795999,3.20001307529847,3.19996354759248,3.1223540272741,3.12252835953498,1.96761438364331,1.96742747987979,2.05001255007232,2.04747493118333,2.65581286147275,2.65574554585675,1.94449186285994,1.94567530466166,39.2255729255886,38.1413215019504
"5","F05",5,"f",1815.23932235532,25.8374604982765,25.805,1600.48084219868,22.7811153809466,22.788,819.3980139035,11.6637037428083,11.572,793.41361777803,11.2933456959669,1853.26838971505,26.3785359146409,26.261,1651.82583133513,23.5106553715544,23.514,820.383503394601,11.6774217188556,11.6,802.445326766782,11.431110677088,656.959019882742,9.35101922947841,652.587672304155,9.28892556321404,727.07583723468,10.3290025997945,677.560297384507,9.64448409308195,676.806045257111,9.63295802437358,726.426548492827,10.3252841270527,155.576,162.235,149.616,156.94,91.646,93.839,57.97,63.101,92.5617,86.5737,105.672,104.294,1636.76431125194,1642.85217834513,13.1110937986912,12.1163438392207,1815.23932235532,25.8374604982765,25.805,1600.48084219868,22.7811153809466,22.788,819.3980139035,11.6637037428083,11.572,793.41361777803,11.2933456959669,656.959019882742,9.35101922947841,652.587672304155,9.28892556321404,727.07583723468,10.3290025997945,155.576,149.616,91.646,57.97,89.5677,104.983,16.3980824479854,12.613718818956,12.613718818956,2.76309368989152,2.76306356175868,1.95323983588172,1.95316306751988,2.01720868704127,2.01721580072432,38.7458560581756,22023.67258465,4.46191827745696,21884.8204684402,4.43371452147317,22023.67258465,4.46191827745696,56.094,54.281,13.1110937986912,12.1163438392207,2.76309368989152,2.76306356175868,2.7352080646829,2.73509040608635,1.95323983588172,1.95316306751988,2.01720868704127,2.01721580072432,2.44061920384831,2.44064754689755,2.05849018772491,2.05672537303642,38.7458560581756,40.2070855103861
"6","F07",6,"f",1737.20713669297,24.9535997002437,24.98,1561.6102484631,22.4321697791364,22.394,848.167470756807,12.1840763704107,12.023,764.383390745946,10.9805331282174,1741.65194328258,25.0178493480155,24.894,1539.49893926076,22.1144181926634,22.121,884.137248861849,12.700525067886,12.483,791.819780894884,11.3608948955412,571.830854128605,8.21566964868648,570.054232025303,8.18828307097023,574.959171039299,8.26183351490987,633.170641226337,9.09661434174132,624.942204738127,8.97623110335338,647.562154172082,9.30671991173324,135,151.439,130.613,145.127,82.37,91.908,48.243,53.219,79.6298,72.9831,90.7041,90.5873,1727.09204944849,1784.80895820764,12.3462796719227,-8.42585836662126,1737.20713669297,24.9535997002437,24.98,1561.6102484631,22.4321697791364,22.394,848.167470756807,12.1840763704107,12.023,764.383390745946,10.9805331282174,571.830854128605,8.21566964868648,570.054232025303,8.18828307097023,574.959171039299,8.26183351490987,135,130.613,82.37,48.243,76.30645,90.6457,17.5595050382806,1.96021065265073,10.386069019272,3.03797377170256,3.03731780454844,1.84115791079526,1.84110548039681,2.04296726926413,2.04290352000222,36.9358333397135,23105.5762885547,4.76738255763209,20901.3587515762,4.3127246205048,23105.5762885547,4.76738255763209,56.438,53.597,12.3462796719227,8.42585836662126,3.03797377170256,3.03731780454844,2.75068335434713,2.75023744089237,1.84115791079526,1.84110548039681,2.04296726926413,2.04290352000222,2.46342610178787,2.46366408552046,1.94425420582557,1.94653840177173,36.9358333397135,36.6706401978956
"7","F08",7,"f",1965.44532089906,28.3087309853338,28.317,1760.5601825865,25.3577574915449,25.364,878.108367982563,12.6480006325111,12.66,822.558811495956,11.8582958336688,1984.14524386724,28.5784029819722,28.432,1769.39042769565,25.4852258573472,25.465,879.822460448129,12.6729133588138,12.66,857.019786494889,12.3484992750894,575.905915697508,8.29477421133195,574.624332763545,8.27715931739054,571.560028712967,8.23346723224015,615.213006373507,8.86169840416109,614.075932395598,8.84491224204493,630.026666782221,9.07918081042119,143.066,158.404,139.986,152.486,87.316,94.375,52.67,58.111,71.1796,69.8333,70.2814,61.7451,2334.77348794535,2278.71600329933,-9.86399855877829,-10.4490812784295,1965.44532089906,28.3087309853338,28.317,1760.5601825865,25.3577574915449,25.364,878.108367982563,12.6480006325111,12.66,822.558811495956,11.8582958336688,575.905915697508,8.29477421133195,574.624332763545,8.27715931739054,571.560028712967,8.23346723224015,143.066,139.986,87.316,52.67,70.50645,66.01325,23.0674474562234,-10.1565399186039,10.1565399186039,3.41278890757461,3.41283924843424,2.00494636741858,2.0048826868623,2.14034566037246,2.13839811784317,37.6251910905376,27595.4403257754,5.7247456888546,25817.664236461,5.35606624214682,27595.4403257754,5.7247456888546,54.926,53.761,9.86399855877829,10.4490812784295,3.41278890757461,3.41283924843424,3.22513539751569,3.22493518494751,2.00494636741858,2.0048826868623,2.14034566037246,2.13839811784317,2.88138703106797,2.88134298678526,2.06458527046645,2.06383183005554,37.6251910905376,38.1090723082775
"8","F09",8,"f",1936.53632531745,27.9860508825379,27.979,1671.53689271909,24.1571539921407,24.149,775.968472094711,11.2149374050861,11.229,697.045433834059,10.0738091400179,2002.23355033822,28.9355834397719,28.875,1698.79181612639,24.5513392710051,24.554,770.669388032248,11.1380479887636,11.157,732.420237859715,10.5848820399658,714.626538681217,10.3259919369741,709.96188401986,10.2605972725651,662.551208308859,9.57331853677611,694.770958179521,10.0406374390331,689.065905502236,9.95856148617093,664.404981463058,9.60466467471021,202.693,194.878,189.899,182.832,86.288,86.719,103.611,96.113,96.7385,99.8268,104.833,92.7556,2538.85079244125,2085.47924700629,13.7169088975541,-14.7596362829896,1936.53632531745,27.9860508825379,27.979,1671.53689271909,24.1571539921407,24.149,775.968472094711,11.2149374050861,11.229,697.045433834059,10.0738091400179,714.626538681217,10.3259919369741,709.96188401986,10.2605972725651,662.551208308859,9.57331853677611,202.693,189.899,86.288,103.611,98.28265,98.7943,23.1216501972377,-0.521363692717761,14.2382725902718,2.70985783552226,2.71025302492527,2.15412990711699,2.15401594494724,2.39803147913171,2.398015850447,54.561108799941,19748.2500659508,4.12439793785117,21926.9011447668,4.57943898770456,19748.2500659508,4.12439793785117,57.039,57.297,13.7169088975541,14.7596362829896,2.70985783552226,2.71025302492527,2.88186131957011,2.88184725476537,2.15412990711699,2.15401594494724,2.39803147913171,2.398015850447,2.46535462364547,2.46534997098714,2.31942227742179,2.31947216589714,54.561108799941,52.5690251159535
"9","F10",9,"f",1859.92926859599,26.9960306156294,26.954,1607.46302217936,23.3323579819957,23.34,794.302975611321,11.5300647873288,11.496,728.940144469142,10.5932068463422,1894.27247985104,27.4952843229526,27.39,1708.94206027589,24.8048633336288,24.777,798.358894649517,11.5883324943669,11.51,690.279647061313,10.019093388261,729.364125954172,10.5868604746685,728.479741572476,10.5734280545152,651.281217484553,9.45233887549073,627.25536583684,9.10443291206467,626.621247975452,9.09539524671854,617.543623758144,8.96157834495896,185.442,165.446,177.026,159.621,86.863,81.377,90.163,78.244,74.7303,76.7522,74.7303,85.0279,2906.71604957021,2677.37885344874,11.0959776685623,-12.5901709261507,1859.92926859599,26.9960306156294,26.954,1607.46302217936,23.3323579819957,23.34,794.302975611321,11.5300647873288,11.496,728.940144469142,10.5932068463422,729.364125954172,10.5868604746685,728.479741572476,10.5734280545152,651.281217484553,9.45233887549073,185.442,177.026,86.863,90.163,75.74125,79.8791,27.9204745150947,-0.747096628794227,11.8430742973565,2.5500695776102,2.54995621036317,2.02374040074847,2.02361031029394,2.20520578318541,2.2025773989349,50.9320664761109,19541.4056928361,4.11682842633286,22479.9257486233,4.73616040495925,19541.4056928361,4.11682842633286,60.849,58.515,11.0959776685623,12.5901709261507,2.5500695776102,2.54995621036317,3.01993826282192,3.01998867897828,2.02374040074847,2.02361031029394,2.20520578318541,2.2025773989349,2.72723286322847,2.72718916119428,2.47572424821052,2.47575927006446,50.9320664761109,49.0186128391628
"10","F11",10,"f",1665.66046489703,24.1261470193647,24.132,1513.28832500486,21.9198234710045,21.915,812.752692356045,11.7729460204318,11.704,782.796741984835,11.3387011845234,1686.85131075059,24.4338944910548,24.363,1547.06353726665,22.4089948458203,22.422,827.442628339271,11.9858108194648,11.993,795.511833992432,11.5311872430636,545.592431972092,7.90253770158037,543.510726012197,7.87220166466803,541.36960526523,7.84210215023144,567.491735257711,8.21958619937375,565.088647460822,8.18532097130493,566.257143289202,8.20324319269515,117.333,122.809,112.998,118.635,76.788,80.762,36.21,37.873,68.7268,56.1687,76.2728,63.3737,1682.21256428038,1830.87468530614,-9.54684743502479,-4.98431108074292,1665.66046489703,24.1261470193647,24.132,1513.28832500486,21.9198234710045,21.915,812.752692356045,11.7729460204318,11.704,782.796741984835,11.3387011845234,545.592431972092,7.90253770158037,543.510726012197,7.87220166466803,541.36960526523,7.84210215023144,117.333,112.998,76.788,36.21,62.44775,69.82325,17.5654362479326,-7.26557925788386,7.26557925788386,3.05293909388801,3.05296196366641,1.86192963645321,1.86188091179243,1.93318168541148,1.93318644827889,32.044814952477,24552.8662836599,5.15116170197703,23985.0579051798,5.03236987398322,24552.8662836599,5.15116170197703,63.448,63.182,9.54684743502479,4.98431108074292,3.05293909388801,3.05296196366641,2.9724685064965,2.97264289203713,1.86192963645321,1.86188091179243,1.93318168541148,1.93318644827889,2.73773600694024,2.73770508503929,1.94473981550018,1.94333804260269,32.044814952477,31.9239684747334
"11","F12",11,"f",1834.27084255352,26.5649352530737,26.576,1640.75488133268,23.7631011654624,23.766,810.469290400321,11.738415054853,11.746,735.017817905399,10.6530228528549,1776.90104889861,25.7340630488075,25.678,1614.85838756004,23.3869518535443,23.404,816.114277841652,11.819608326844,11.688,753.589548579399,10.9131939593797,607.415702350242,8.79794841551571,606.504478788781,8.78330464165989,608.26830720251,8.80834281281913,597.653443705513,8.65591185402408,595.982408352795,8.63193563454878,613.353698903698,8.87868795222287,151.949,147.655,146.363,142.242,84.642,83.648,61.721,58.594,86.6666,71.6655,106.905,89.3453,1445.70072102928,1975.99701726159,-11.8731128585911,9.06274896619751,1834.27084255352,26.5649352530737,26.576,1640.75488133268,23.7631011654624,23.766,810.469290400321,11.738415054853,11.746,735.017817905399,10.6530228528549,607.415702350242,8.79794841551571,606.504478788781,8.78330464165989,608.26830720251,8.80834281281913,151.949,146.363,84.642,61.721,79.16605,98.12515,17.1084886914544,-1.40518194619681,10.4679309123943,3.01979490397807,3.01944657986683,2.02445040270711,2.02438753906883,2.23226545175242,2.23064396779117,42.1698106761955,22987.7053889439,4.82154496013337,22197.2226035699,4.65574163046076,22987.7053889439,4.82154496013337,62.324,60.67,11.8731128585911,9.06274896619751,3.01979490397807,3.01944657986683,2.97312944083722,2.9730042868729,2.02445040270711,2.02438753906883,2.23226545175242,2.23064396779117,2.70957391514837,2.70935197430568,2.14288851352069,2.14299791065691,42.1698106761955,41.1931778237089
"12","F13",12,"f",1842.98597763982,26.7038171241491,26.516,1624.98191804094,23.5453105309741,23.531,789.971368012791,11.4466982138956,11.461,789.959507640238,11.44574122871,1777.15955773757,25.7503375706028,25.444,1601.44955491455,23.2049853479807,23.154,798.167743143007,11.5656190928112,11.577,791.723850741406,11.4684175813747,686.956907890587,9.95383143434024,680.581163168867,9.8629273985423,680.984395102108,9.86734381958179,678.169877249217,9.82639859901321,673.214537274336,9.75604858817975,672.505583448997,9.73867796305567,183.029,171.322,174.109,162.267,91.616,91.942,82.493,70.325,92.0593,81.9149,98.6333,90.0397,1833.63952243371,2007.0937556411,-12.6060278249439,12.2366974395746,1842.98597763982,26.7038171241491,26.516,1624.98191804094,23.5453105309741,23.531,789.971368012791,11.4466982138956,11.461,789.959507640238,11.44574122871,686.956907890587,9.95383143434024,680.581163168867,9.8629273985423,680.984395102108,9.86734381958179,183.029,174.109,91.616,82.493,86.9871,94.3365,19.203666390374,-0.184665192684653,12.4213626322592,2.68282618090122,2.68276766592834,2.05701368915262,2.0569521525772,2.05704457294915,2.0571241355618,47.3800894841737,19508.4534043444,4.09567483013515,19463.576042313,4.08635079837552,19508.4534043444,4.09567483013515,66.028,63.978,12.6060278249439,12.2366974395746,2.68282618090122,2.68276766592834,2.62052269992595,2.62052646360069,2.05701368915262,2.0569521525772,2.05704457294915,2.0571241355618,2.37881012106242,2.37852293766715,2.02273754089242,2.02338162029143,47.3800894841737,43.3390646280513
