"","looker_id","Gender","ID","set","measure","value"
"1","F01","f","01","left","width",27.0418724388678
"2","F01","f","01","right","width",25.8642781650677
"3","F02","f","02","left","width",28.4769786669864
"4","F02","f","02","right","width",28.8693176919719
"5","F03","f","03","left","width",25.7064281844055
"6","F03","f","03","right","width",25.0068593989729
"7","F04","f","04","left","width",26.3203367189708
"8","F04","f","04","right","width",26.241379536907
"9","F05","f","05","left","width",25.8375259070988
"10","F05","f","05","right","width",26.3786415495567
"11","F07","f","07","left","width",24.9516858348289
"12","F07","f","07","right","width",25.0178493480155
"13","F08","f","08","left","width",28.3101458314859
"14","F08","f","08","right","width",28.5784029819722
"15","F09","f","09","left","width",27.987168863606
"16","F09","f","09","right","width",28.9358420129776
"17","F10","f","10","left","width",26.9965310734546
"18","F10","f","10","right","width",27.4980731870435
"19","F11","f","11","left","width",24.1286069427972
"20","F11","f","11","right","width",24.4335815221592
"21","F12","f","12","left","width",26.5654240884651
"22","F12","f","12","right","width",25.7343836141455
"23","F13","f","13","left","width",26.7100006739049
"24","F13","f","13","right","width",25.7504917428775
"25","F14","f","14","left","width",28.0390888760673
"26","F14","f","14","right","width",26.3818425626415
"27","F15","f","15","left","width",27.0720166223353
"28","F15","f","15","right","width",26.6394279593237
"29","F16","f","16","left","width",26.4111080608141
"30","F16","f","16","right","width",26.8347666470197
"31","F17","f","17","left","width",26.2495612153803
"32","F17","f","17","right","width",25.7850889081267
"33","F18","f","18","left","width",29.1244238397947
"34","F18","f","18","right","width",27.8973315032101
"35","F19","f","19","left","width",25.1244884724048
"36","F19","f","19","right","width",26.7910398827668
"37","F20","f","20","left","width",28.6555262558551
"38","F20","f","20","right","width",28.4285922620168
"39","F21","f","21","left","width",22.6567884749803
"40","F21","f","21","right","width",24.5259256502176
"41","F22","f","22","left","width",27.5762101819666
"42","F22","f","22","right","width",26.8518864328002
"43","F23","f","23","left","width",26.988037720442
"44","F23","f","23","right","width",26.1640403798802
"45","F24","f","24","left","width",26.6666252083011
"46","F24","f","24","right","width",27.8084423511998
"47","F25","f","25","left","width",27.8661724856501
"48","F25","f","25","right","width",29.0770438834487
"49","F26","f","26","left","width",24.5562819864897
"50","F26","f","26","right","width",24.7316324168058
"51","F28","f","28","left","width",27.7037550703871
"52","F28","f","28","right","width",27.6199050686276
"53","M01","m","01","left","width",29.1672674928592
"54","M01","m","01","right","width",27.4225783069353
"55","M02","m","02","left","width",28.556707390734
"56","M02","m","02","right","width",28.4687470219537
"57","M03","m","03","left","width",27.4432285454901
"58","M03","m","03","right","width",26.5621732921085
"59","M04","m","04","left","width",27.9321015679093
"60","M04","m","04","right","width",27.6278509660089
"61","M05","m","05","left","width",26.9428836615534
"62","M05","m","05","right","width",27.3972198772065
"63","M06","m","06","left","width",27.6659938914184
"64","M06","m","06","right","width",27.2525786302874
"65","M07","m","07","left","width",25.1384532738194
"66","M07","m","07","right","width",25.7978506469047
"67","M08","m","08","left","width",25.468648727406
"68","M08","m","08","right","width",26.0170192181964
"69","M09","m","09","left","width",27.0708642085915
"70","M09","m","09","right","width",26.4254539601499
"71","M10","m","10","left","width",30.2464827872598
"72","M10","m","10","right","width",29.7591271713402
"73","M11","m","11","left","width",25.255881414039
"74","M11","m","11","right","width",26.066093397362
"75","M12","m","12","left","width",31.0681901790239
"76","M12","m","12","right","width",30.5932593392727
"77","M13","m","13","left","width",28.9374633304303
"78","M13","m","13","right","width",26.7404969662121
"79","M14","m","14","left","width",28.4756154279411
"80","M14","m","14","right","width",28.3568507595607
"81","F01","f","01","left","width_horiz",27.039
"82","F01","f","01","right","width_horiz",25.75
"83","F02","f","02","left","width_horiz",28.339
"84","F02","f","02","right","width_horiz",28.768
"85","F03","f","03","left","width_horiz",25.555
"86","F03","f","03","right","width_horiz",24.67
"87","F04","f","04","left","width_horiz",26.273
"88","F04","f","04","right","width_horiz",26.073
"89","F05","f","05","left","width_horiz",25.805
"90","F05","f","05","right","width_horiz",26.261
"91","F07","f","07","left","width_horiz",24.966
"92","F07","f","07","right","width_horiz",24.894
"93","F08","f","08","left","width_horiz",28.302
"94","F08","f","08","right","width_horiz",28.432
"95","F09","f","09","left","width_horiz",27.964
"96","F09","f","09","right","width_horiz",28.875
"97","F10","f","10","left","width_horiz",26.954
"98","F10","f","10","right","width_horiz",27.39
"99","F11","f","11","left","width_horiz",24.132
"100","F11","f","11","right","width_horiz",24.363
"101","F12","f","12","left","width_horiz",26.576
"102","F12","f","12","right","width_horiz",25.678
"103","F13","f","13","left","width_horiz",26.516
"104","F13","f","13","right","width_horiz",25.444
"105","F14","f","14","left","width_horiz",27.987
"106","F14","f","14","right","width_horiz",26.029
"107","F15","f","15","left","width_horiz",27.076
"108","F15","f","15","right","width_horiz",26.643
"109","F16","f","16","left","width_horiz",26.384
"110","F16","f","16","right","width_horiz",26.571
"111","F17","f","17","left","width_horiz",26.261
"112","F17","f","17","right","width_horiz",25.756
"113","F18","f","18","left","width_horiz",29.088
"114","F18","f","18","right","width_horiz",27.91
"115","F19","f","19","left","width_horiz",25.037
"116","F19","f","19","right","width_horiz",26.79
"117","F20","f","20","left","width_horiz",28.66
"118","F20","f","20","right","width_horiz",28.387
"119","F21","f","21","left","width_horiz",22.586
"120","F21","f","21","right","width_horiz",24.5
"121","F22","f","22","left","width_horiz",27.573
"122","F22","f","22","right","width_horiz",26.858
"123","F23","f","23","left","width_horiz",26.999
"124","F23","f","23","right","width_horiz",26.154
"125","F24","f","24","left","width_horiz",26.562
"126","F24","f","24","right","width_horiz",27.685
"127","F25","f","25","left","width_horiz",27.839
"128","F25","f","25","right","width_horiz",28.916
"129","F26","f","26","left","width_horiz",24.457
"130","F26","f","26","right","width_horiz",24.672
"131","F28","f","28","left","width_horiz",27.509
"132","F28","f","28","right","width_horiz",27.105
"133","M01","m","01","left","width_horiz",29.06
"134","M01","m","01","right","width_horiz",27.356
"135","M02","m","02","left","width_horiz",28.564
"136","M02","m","02","right","width_horiz",28.406
"137","M03","m","03","left","width_horiz",27.461
"138","M03","m","03","right","width_horiz",26.552
"139","M04","m","04","left","width_horiz",27.945
"140","M04","m","04","right","width_horiz",27.615
"141","M05","m","05","left","width_horiz",26.866
"142","M05","m","05","right","width_horiz",27.402
"143","M06","m","06","left","width_horiz",27.687
"144","M06","m","06","right","width_horiz",27.197
"145","M07","m","07","left","width_horiz",25.124
"146","M07","m","07","right","width_horiz",25.787
"147","M08","m","08","left","width_horiz",25.387
"148","M08","m","08","right","width_horiz",26.035
"149","M09","m","09","left","width_horiz",26.926
"150","M09","m","09","right","width_horiz",26.439
"151","M10","m","10","left","width_horiz",30.213
"152","M10","m","10","right","width_horiz",29.784
"153","M11","m","11","left","width_horiz",25.269
"154","M11","m","11","right","width_horiz",25.982
"155","M12","m","12","left","width_horiz",31.046
"156","M12","m","12","right","width_horiz",30.602
"157","M13","m","13","left","width_horiz",28.916
"158","M13","m","13","right","width_horiz",26.637
"159","M14","m","14","left","width_horiz",28.355
"160","M14","m","14","right","width_horiz",28.355
"161","F01","f","01","left","sc_width",24.1811289231913
"162","F01","f","01","right","sc_width",23.6264082966497
"163","F02","f","02","left","sc_width",25.4485699598229
"164","F02","f","02","right","sc_width",24.7073264033161
"165","F03","f","03","left","sc_width",22.8628145686396
"166","F03","f","03","right","sc_width",21.5002213244422
"167","F04","f","04","left","sc_width",23.2996201900374
"168","F04","f","04","right","sc_width",22.7947178311117
"169","F05","f","05","left","sc_width",22.780307833741
"170","F05","f","05","right","sc_width",23.5114784732904
"171","F07","f","07","left","sc_width",22.5437360701371
"172","F07","f","07","right","sc_width",22.6601747786728
"173","F08","f","08","left","sc_width",25.8188059367586
"174","F08","f","08","right","sc_width",25.4856033477726
"175","F09","f","09","left","sc_width",24.1571539921407
"176","F09","f","09","right","sc_width",24.7830597182834
"177","F10","f","10","left","sc_width",23.332509037821
"178","F10","f","10","right","sc_width",24.8017673966998
"179","F11","f","11","left","sc_width",22.0149082441876
"180","F11","f","11","right","sc_width",22.4089948458203
"181","F12","f","12","left","sc_width",23.7623334081483
"182","F12","f","12","right","sc_width",23.3884563406823
"183","F13","f","13","left","sc_width",23.5453105309741
"184","F13","f","13","right","sc_width",23.2047418645414
"185","F14","f","14","left","sc_width",25.3411255669514
"186","F14","f","14","right","sc_width",22.6956430400198
"187","F15","f","15","left","sc_width",23.4094110348808
"188","F15","f","15","right","sc_width",23.4986689197495
"189","F16","f","16","left","sc_width",24.578028826576
"190","F16","f","16","right","sc_width",24.9063809494676
"191","F17","f","17","left","sc_width",23.4396640334285
"192","F17","f","17","right","sc_width",23.1678290955368
"193","F18","f","18","left","sc_width",26.4524191143268
"194","F18","f","18","right","sc_width",26.3394588023368
"195","F19","f","19","left","sc_width",22.0940000226306
"196","F19","f","19","right","sc_width",23.1208998527307
"197","F20","f","20","left","sc_width",24.3548817488404
"198","F20","f","20","right","sc_width",25.3637225185894
"199","F21","f","21","left","sc_width",20.6369681881811
"200","F21","f","21","right","sc_width",21.5389255303044
"201","F22","f","22","left","sc_width",25.1241898774866
"202","F22","f","22","right","sc_width",24.2337157282989
"203","F23","f","23","left","sc_width",24.3283666940467
"204","F23","f","23","right","sc_width",23.9793401493869
"205","F24","f","24","left","sc_width",23.6542584115419
"206","F24","f","24","right","sc_width",24.3219131648808
"207","F25","f","25","left","sc_width",24.2421377976448
"208","F25","f","25","right","sc_width",24.5825540780449
"209","F26","f","26","left","sc_width",22.3410991000891
"210","F26","f","26","right","sc_width",23.3925389814787
"211","F28","f","28","left","sc_width",23.7659157829022
"212","F28","f","28","right","sc_width",24.049025468821
"213","M01","m","01","left","sc_width",25.1917944180243
"214","M01","m","01","right","sc_width",23.3071303467415
"215","M02","m","02","left","sc_width",24.8984941311719
"216","M02","m","02","right","sc_width",24.8150805962826
"217","M03","m","03","left","sc_width",24.9579189236603
"218","M03","m","03","right","sc_width",24.1518867585951
"219","M04","m","04","left","sc_width",25.9771654342809
"220","M04","m","04","right","sc_width",24.992998239507
"221","M05","m","05","left","sc_width",24.6806221355946
"222","M05","m","05","right","sc_width",24.0020766184928
"223","M06","m","06","left","sc_width",24.2352837202291
"224","M06","m","06","right","sc_width",24.5901473155408
"225","M07","m","07","left","sc_width",21.4565574358982
"226","M07","m","07","right","sc_width",22.6170980676125
"227","M08","m","08","left","sc_width",21.7290465966641
"228","M08","m","08","right","sc_width",22.9318034615684
"229","M09","m","09","left","sc_width",23.1562806167139
"230","M09","m","09","right","sc_width",22.7506286726323
"231","M10","m","10","left","sc_width",26.9541382351579
"232","M10","m","10","right","sc_width",26.0807750076565
"233","M11","m","11","left","sc_width",21.9424575196125
"234","M11","m","11","right","sc_width",22.7348746422759
"235","M12","m","12","left","sc_width",26.797726358779
"236","M12","m","12","right","sc_width",26.8076947908618
"237","M13","m","13","left","sc_width",25.0607454996854
"238","M13","m","13","right","sc_width",24.1843877325849
"239","M14","m","14","left","sc_width",26.2425635942832
"240","M14","m","14","right","sc_width",25.1200562101282
"241","F01","f","01","left","sc_width_horiz",24.185
"242","F01","f","01","right","sc_width_horiz",23.634
"243","F02","f","02","left","sc_width_horiz",25.441
"244","F02","f","02","right","sc_width_horiz",24.727
"245","F03","f","03","left","sc_width_horiz",22.843
"246","F03","f","03","right","sc_width_horiz",21.472
"247","F04","f","04","left","sc_width_horiz",23.315
"248","F04","f","04","right","sc_width_horiz",22.801
"249","F05","f","05","left","sc_width_horiz",22.788
"250","F05","f","05","right","sc_width_horiz",23.514
"251","F07","f","07","left","sc_width_horiz",22.509
"252","F07","f","07","right","sc_width_horiz",22.667
"253","F08","f","08","left","sc_width_horiz",25.825
"254","F08","f","08","right","sc_width_horiz",25.465
"255","F09","f","09","left","sc_width_horiz",24.149
"256","F09","f","09","right","sc_width_horiz",24.785
"257","F10","f","10","left","sc_width_horiz",23.34
"258","F10","f","10","right","sc_width_horiz",24.777
"259","F11","f","11","left","sc_width_horiz",22.017
"260","F11","f","11","right","sc_width_horiz",22.422
"261","F12","f","12","left","sc_width_horiz",23.766
"262","F12","f","12","right","sc_width_horiz",23.404
"263","F13","f","13","left","sc_width_horiz",23.531
"264","F13","f","13","right","sc_width_horiz",23.154
"265","F14","f","14","left","sc_width_horiz",25.342
"266","F14","f","14","right","sc_width_horiz",22.624
"267","F15","f","15","left","sc_width_horiz",23.412
"268","F15","f","15","right","sc_width_horiz",23.484
"269","F16","f","16","left","sc_width_horiz",24.597
"270","F16","f","16","right","sc_width_horiz",24.799
"271","F17","f","17","left","sc_width_horiz",23.433
"272","F17","f","17","right","sc_width_horiz",23.188
"273","F18","f","18","left","sc_width_horiz",26.474
"274","F18","f","18","right","sc_width_horiz",26.316
"275","F19","f","19","left","sc_width_horiz",22.107
"276","F19","f","19","right","sc_width_horiz",23.112
"277","F20","f","20","left","sc_width_horiz",24.313
"278","F20","f","20","right","sc_width_horiz",25.364
"279","F21","f","21","left","sc_width_horiz",20.642
"280","F21","f","21","right","sc_width_horiz",21.564
"281","F22","f","22","left","sc_width_horiz",25.127
"282","F22","f","22","right","sc_width_horiz",24.198
"283","F23","f","23","left","sc_width_horiz",24.317
"284","F23","f","23","right","sc_width_horiz",23.982
"285","F24","f","24","left","sc_width_horiz",23.669
"286","F24","f","24","right","sc_width_horiz",24.317
"287","F25","f","25","left","sc_width_horiz",24.252
"288","F25","f","25","right","sc_width_horiz",24.596
"289","F26","f","26","left","sc_width_horiz",22.35
"290","F26","f","26","right","sc_width_horiz",23.396
"291","F28","f","28","left","sc_width_horiz",23.758
"292","F28","f","28","right","sc_width_horiz",23.83
"293","M01","m","01","left","sc_width_horiz",25.176
"294","M01","m","01","right","sc_width_horiz",23.329
"295","M02","m","02","left","sc_width_horiz",24.89
"296","M02","m","02","right","sc_width_horiz",24.631
"297","M03","m","03","left","sc_width_horiz",24.922
"298","M03","m","03","right","sc_width_horiz",24.157
"299","M04","m","04","left","sc_width_horiz",25.982
"300","M04","m","04","right","sc_width_horiz",24.865
"301","M05","m","05","left","sc_width_horiz",24.693
"302","M05","m","05","right","sc_width_horiz",23.983
"303","M06","m","06","left","sc_width_horiz",24.217
"304","M06","m","06","right","sc_width_horiz",24.591
"305","M07","m","07","left","sc_width_horiz",21.42
"306","M07","m","07","right","sc_width_horiz",22.544
"307","M08","m","08","left","sc_width_horiz",21.742
"308","M08","m","08","right","sc_width_horiz",22.865
"309","M09","m","09","left","sc_width_horiz",23.174
"310","M09","m","09","right","sc_width_horiz",22.672
"311","M10","m","10","left","sc_width_horiz",26.81
"312","M10","m","10","right","sc_width_horiz",26.037
"313","M11","m","11","left","sc_width_horiz",21.942
"314","M11","m","11","right","sc_width_horiz",22.742
"315","M12","m","12","left","sc_width_horiz",26.644
"316","M12","m","12","right","sc_width_horiz",26.615
"317","M13","m","13","left","sc_width_horiz",24.931
"318","M13","m","13","right","sc_width_horiz",23.927
"319","M14","m","14","left","sc_width_horiz",26.23
"320","M14","m","14","right","sc_width_horiz",24.981
"321","F01","f","01","left","ir_width",12.2111065018695
"322","F01","f","01","right","ir_width",12.1144903731028
"323","F02","f","02","left","ir_width",11.3415941119403
"324","F02","f","02","right","ir_width",11.2734763493787
"325","F03","f","03","left","ir_width",11.535177935342
"326","F03","f","03","right","ir_width",11.4491868706909
"327","F04","f","04","left","ir_width",11.8426905726697
"328","F04","f","04","right","ir_width",12.062168503217
"329","F05","f","05","left","ir_width",11.6636214787689
"330","F05","f","05","right","ir_width",11.67708953464
"331","F07","f","07","left","ir_width",12.1838071225705
"332","F07","f","07","right","ir_width",12.7001951559809
"333","F08","f","08","left","ir_width",12.6480542772396
"334","F08","f","08","right","ir_width",12.6727506879919
"335","F09","f","09","left","ir_width",11.2149374050861
"336","F09","f","09","right","ir_width",11.1380479887636
"337","F10","f","10","left","ir_width",11.5316583803025
"338","F10","f","10","right","ir_width",11.5883324943669
"339","F11","f","11","left","ir_width",11.7729460204318
"340","F11","f","11","right","ir_width",11.9858108194648
"341","F12","f","12","left","ir_width",11.738415054853
"342","F12","f","12","right","ir_width",11.819608326844
"343","F13","f","13","left","ir_width",11.4470425874983
"344","F13","f","13","right","ir_width",11.5656190928112
"345","F14","f","14","left","ir_width",11.2941022662273
"346","F14","f","14","right","ir_width",11.5759896769131
"347","F15","f","15","left","ir_width",11.4140648762831
"348","F15","f","15","right","ir_width",11.4654790131071
"349","F16","f","16","left","ir_width",11.3952759510246
"350","F16","f","16","right","ir_width",11.4489355400404
"351","F17","f","17","left","ir_width",12.3321713011132
"352","F17","f","17","right","ir_width",12.3538141883388
"353","F18","f","18","left","ir_width",12.0746511336767
"354","F18","f","18","right","ir_width",12.171327372148
"355","F19","f","19","left","ir_width",11.668078033678
"356","F19","f","19","right","ir_width",11.9392110710884
"357","F20","f","20","left","ir_width",11.6540727644888
"358","F20","f","20","right","ir_width",11.4665887691152
"359","F21","f","21","left","ir_width",10.7022555566572
"360","F21","f","21","right","ir_width",10.7068398699149
"361","F22","f","22","left","ir_width",11.818520423471
"362","F22","f","22","right","ir_width",11.8226853971507
"363","F23","f","23","left","ir_width",11.8521740199847
"364","F23","f","23","right","ir_width",12.0713479777529
"365","F24","f","24","left","ir_width",11.4469351793395
"366","F24","f","24","right","ir_width",11.2640135830884
"367","F25","f","25","left","ir_width",11.909050172033
"368","F25","f","25","right","ir_width",11.9842306803566
"369","F26","f","26","left","ir_width",11.9554848500594
"370","F26","f","26","right","ir_width",11.8958714266757
"371","F28","f","28","left","ir_width",11.3865121964542
"372","F28","f","28","right","ir_width",11.5252183059584
"373","M01","m","01","left","ir_width",11.5800655006783
"374","M01","m","01","right","ir_width",11.7708386277274
"375","M02","m","02","left","ir_width",12.2075187077473
"376","M02","m","02","right","ir_width",12.3474320002177
"377","M03","m","03","left","ir_width",12.1075236939681
"378","M03","m","03","right","ir_width",11.9837404010601
"379","M04","m","04","left","ir_width",12.4894374973415
"380","M04","m","04","right","ir_width",12.3807813969878
"381","M05","m","05","left","ir_width",11.8734006080819
"382","M05","m","05","right","ir_width",11.7980216138131
"383","M06","m","06","left","ir_width",11.8862677068961
"384","M06","m","06","right","ir_width",11.8619828443646
"385","M07","m","07","left","ir_width",12.1992960862502
"386","M07","m","07","right","ir_width",12.2722567199354
"387","M08","m","08","left","ir_width",11.9627864646996
"388","M08","m","08","right","ir_width",11.8779122744698
"389","M09","m","09","left","ir_width",11.9655068425871
"390","M09","m","09","right","ir_width",11.8784797848883
"391","M10","m","10","left","ir_width",12.1072487791405
"392","M10","m","10","right","ir_width",12.0505835543346
"393","M11","m","11","left","ir_width",12.3781406115781
"394","M11","m","11","right","ir_width",11.9788029452028
"395","M12","m","12","left","ir_width",11.8778447960899
"396","M12","m","12","right","ir_width",11.9560478838118
"397","M13","m","13","left","ir_width",11.8320738672474
"398","M13","m","13","right","ir_width",11.7445122929818
"399","M14","m","14","left","ir_width",12.1795011802619
"400","M14","m","14","right","ir_width",12.4643599514777
"401","F01","f","01","left","ir_width_horiz",12.129
"402","F01","f","01","right","ir_width_horiz",12.129
"403","F02","f","02","left","ir_width_horiz",11.321
"404","F02","f","02","right","ir_width_horiz",11.236
"405","F03","f","03","left","ir_width_horiz",11.536
"406","F03","f","03","right","ir_width_horiz",11.464
"407","F04","f","04","left","ir_width_horiz",11.829
"408","F04","f","04","right","ir_width_horiz",11.886
"409","F05","f","05","left","ir_width_horiz",11.572
"410","F05","f","05","right","ir_width_horiz",11.6
"411","F07","f","07","left","ir_width_horiz",12.023
"412","F07","f","07","right","ir_width_horiz",12.483
"413","F08","f","08","left","ir_width_horiz",12.66
"414","F08","f","08","right","ir_width_horiz",12.66
"415","F09","f","09","left","ir_width_horiz",11.229
"416","F09","f","09","right","ir_width_horiz",11.157
"417","F10","f","10","left","ir_width_horiz",11.496
"418","F10","f","10","right","ir_width_horiz",11.51
"419","F11","f","11","left","ir_width_horiz",11.704
"420","F11","f","11","right","ir_width_horiz",11.993
"421","F12","f","12","left","ir_width_horiz",11.746
"422","F12","f","12","right","ir_width_horiz",11.688
"423","F13","f","13","left","ir_width_horiz",11.461
"424","F13","f","13","right","ir_width_horiz",11.577
"425","F14","f","14","left","ir_width_horiz",11.195
"426","F14","f","14","right","ir_width_horiz",11.546
"427","F15","f","15","left","ir_width_horiz",11.425
"428","F15","f","15","right","ir_width_horiz",11.223
"429","F16","f","16","left","ir_width_horiz",11.369
"430","F16","f","16","right","ir_width_horiz",11.427
"431","F17","f","17","left","ir_width_horiz",12.135
"432","F17","f","17","right","ir_width_horiz",12.222
"433","F18","f","18","left","ir_width_horiz",12.066
"434","F18","f","18","right","ir_width_horiz",12.152
"435","F19","f","19","left","ir_width_horiz",11.664
"436","F19","f","19","right","ir_width_horiz",11.865
"437","F20","f","20","left","ir_width_horiz",11.631
"438","F20","f","20","right","ir_width_horiz",11.415
"439","F21","f","21","left","ir_width_horiz",10.724
"440","F21","f","21","right","ir_width_horiz",10.71
"441","F22","f","22","left","ir_width_horiz",11.713
"442","F22","f","22","right","ir_width_horiz",11.756
"443","F23","f","23","left","ir_width_horiz",11.838
"444","F23","f","23","right","ir_width_horiz",12.056
"445","F24","f","24","left","ir_width_horiz",11.158
"446","F24","f","24","right","ir_width_horiz",11.23
"447","F25","f","25","left","ir_width_horiz",11.882
"448","F25","f","25","right","ir_width_horiz",11.911
"449","F26","f","26","left","ir_width_horiz",11.956
"450","F26","f","26","right","ir_width_horiz",11.842
"451","F28","f","28","left","ir_width_horiz",11.396
"452","F28","f","28","right","ir_width_horiz",11.396
"453","M01","m","01","left","ir_width_horiz",11.491
"454","M01","m","01","right","ir_width_horiz",11.751
"455","M02","m","02","left","ir_width_horiz",12.115
"456","M02","m","02","right","ir_width_horiz",12.287
"457","M03","m","03","left","ir_width_horiz",11.775
"458","M03","m","03","right","ir_width_horiz",11.862
"459","M04","m","04","left","ir_width_horiz",12.504
"460","M04","m","04","right","ir_width_horiz",12.347
"461","M05","m","05","left","ir_width_horiz",11.883
"462","M05","m","05","right","ir_width_horiz",11.825
"463","M06","m","06","left","ir_width_horiz",11.835
"464","M06","m","06","right","ir_width_horiz",11.763
